id,a1,a2,a3,n1,n2,n3,e1,e2,e3,f1,f2,f3,h1,h2,h3,origination,classes,contribution,csat,intent,treatment
I7NV1DM5,7,7,6,7,5,6,7,7,7,6,7,6,7,7,7,2023,23,268.82,4,6,New Product
RUUVHNL9,5,6,4,1,1,1,5,4,6,4,5,5,5,5,6,2015,456,5086.11,4,5,Control
MF4VOP5Q,4,3,4,5,5,5,3,4,3,4,4,3,7,7,7,2017,174,1966.34,4,4,Ad
030URZ67,6,4,4,3,3,5,4,4,5,5,5,5,7,7,6,2022,40,410.94,3,5,Subscription
QY7FJHAX,7,7,7,6,6,6,3,4,4,2,2,2,6,7,6,2022,31,274.87,7,5,Ad
D5YMU7KR,3,3,3,2,4,4,4,3,4,4,4,3,4,4,4,2020,96,1036.11,3,4,Control
WUWSC393,4,5,6,6,4,6,5,5,5,3,5,3,5,5,6,2020,129,1448.06,4,4,Control
E6SEJMLL,3,3,3,5,4,5,3,3,3,3,4,3,7,6,6,2015,336,3236.51,3,4,Ad
CMUFOBQ6,7,7,6,1,1,1,5,6,5,7,6,7,5,5,7,2017,228,2131.57,3,4,Control
M30JNDTB,4,4,6,4,4,5,6,4,5,7,6,6,6,6,7,2016,287,2729.1,2,5,Subscription
UTPRDXJE,5,7,6,2,1,1,7,6,6,6,6,6,6,6,7,2018,250,2243.67,3,5,Subscription
FL05LFW1,3,4,4,4,4,5,5,5,5,6,7,6,7,7,7,2020,96,1119.35,2,3,Control
AI7C69Y1,7,5,7,4,4,3,2,1,2,2,1,1,1,1,1,2021,46,406.6,6,3,Control
CZDE9K30,4,4,4,3,3,3,4,5,4,3,2,2,4,3,3,2021,60,633.42,5,5,New Product
W7LHLZNP,3,3,3,2,2,2,4,5,5,5,6,5,6,6,6,2018,135,1363.63,2,3,Ad
ABZ8OLB7,6,4,4,4,5,4,2,1,1,3,2,4,4,3,4,2021,52,476.49,4,3,Control
0ONFJL9A,4,7,5,2,1,1,6,6,7,6,5,6,7,6,6,2014,414,4078.25,3,4,Control
F7MUMMHM,6,6,7,4,3,3,2,2,2,1,1,1,1,1,1,2022,21,195.53,6,4,Control
ZA0ICLIX,5,4,5,3,5,4,1,1,1,3,2,2,3,3,2,2021,56,567.92,5,3,Subscription
Z2LQ89DF,6,5,4,5,3,4,5,3,4,6,7,6,5,5,6,2014,351,3850.06,2,4,New Product
2YAVV0BD,5,4,4,7,6,6,4,4,4,5,6,4,6,5,6,2023,40,451.66,3,4,Control
WGZFCHU6,6,7,6,3,2,2,7,6,7,6,7,7,7,7,7,2014,450,4551.25,3,7,New Product
1J77T610,6,5,6,4,3,5,1,1,1,1,1,1,3,2,2,2021,30,273.46,6,3,Control
B66V8SKG,4,5,5,5,5,5,5,5,4,5,4,4,6,6,7,2020,99,1086.15,4,4,Control
1YRIKL10,4,4,4,3,3,3,4,3,3,3,5,3,6,7,6,2015,296,2400.74,4,4,Subscription
DPLZUC2M,6,7,7,4,3,3,2,3,2,3,3,2,2,1,2,2022,21,175.63,5,4,New Product
RS760KD0,5,7,5,5,4,6,4,5,5,5,4,4,7,7,6,2019,124,1462.77,4,5,Ad
ASWMU1KZ,5,3,5,1,2,3,3,3,1,3,3,3,2,3,2,2022,19,172.71,4,3,Ad
8OSNDA7K,6,5,6,4,4,3,1,1,1,2,2,2,4,3,4,2022,28,248.06,5,3,Subscription
M7IP14CN,6,5,6,3,4,4,3,4,4,4,4,4,4,4,4,2022,30,312.59,4,5,Ad
VHOLMS2G,7,7,7,2,2,1,6,6,6,5,6,5,6,6,6,2014,414,3683.71,4,6,Subscription
48NZ5O9R,5,4,5,3,2,3,1,2,1,1,1,1,2,3,3,2021,68,610.96,6,3,New Product
DTEGJBMS,7,6,7,6,6,5,1,1,1,1,1,3,3,2,2,2021,38,364.19,6,3,Ad
ZFJKYG0B,6,7,5,2,1,1,6,6,7,6,5,6,7,7,7,2015,320,3325.41,4,5,Ad
2619ZQP0,3,4,2,2,1,2,2,2,3,7,6,6,7,6,5,2016,245,2557.91,1,5,New Product
NCRZ1AOX,7,5,7,4,3,4,1,3,2,3,3,4,4,4,2,2022,16,139.57,5,4,Subscription
XXZLN8SJ,5,7,4,1,1,1,6,7,7,6,5,6,6,6,7,2015,448,4701.33,3,4,Control
PZO5L29V,3,4,3,3,3,4,3,2,3,4,5,5,4,3,3,2015,352,3612.9,2,4,Control
M3X11PTJ,4,5,4,4,5,5,5,4,5,5,5,4,7,6,6,2022,35,376.59,3,5,New Product
6G0UWGY5,5,5,6,4,4,5,3,3,4,3,3,4,5,4,4,2022,32,290.33,5,4,New Product
2045XV8M,7,6,7,4,2,2,2,3,3,1,1,2,2,3,1,2021,48,431.26,6,5,Subscription
CJXXJQPG,6,5,5,2,2,1,2,2,2,1,1,1,2,1,2,2021,58,533.4,6,3,Control
R65TG0ZR,4,4,3,2,4,3,4,3,4,6,5,5,7,6,5,2020,114,1319.45,2,4,Control
30P0CL7R,4,4,3,5,6,7,5,3,3,6,6,4,6,5,4,2022,36,409.61,2,4,New Product
E6QVLPHX,6,7,6,1,1,1,6,6,6,6,5,5,5,4,4,2013,570,5276.28,4,5,Subscription
4U8J9BLN,4,4,4,2,3,4,4,5,4,5,4,2,5,5,4,2019,164,1891.41,4,4,Subscription
D7HRWEOM,7,6,7,6,5,5,1,4,2,3,2,3,1,2,1,2021,68,559,5,5,Subscription
X1CAZD24,5,5,6,3,3,3,1,1,1,1,1,1,1,1,1,2022,29,243.34,6,4,New Product
TC0WBX6I,4,3,4,4,3,4,4,4,5,4,4,3,4,4,3,2022,46,452.7,4,4,Subscription
AC02WDWL,5,3,5,2,3,3,2,2,2,1,1,1,2,2,1,2021,36,308.47,6,2,Subscription
H7SFD8KZ,6,7,6,3,2,1,6,7,6,4,5,4,5,5,4,2015,352,3812.5,5,6,Ad
9BFZ2OX1,7,7,6,2,2,2,7,6,7,7,7,7,7,7,7,2017,330,3095.45,3,5,Control
9ZZ9KJKM,5,4,5,3,1,1,1,1,1,1,1,1,1,1,1,2022,32,294.85,5,2,Control
BEW5BXSO,7,7,7,5,5,4,2,3,3,1,1,1,1,1,1,2021,56,470.11,7,5,Subscription
BJTP6N3Q,7,6,6,4,5,6,4,4,4,5,5,5,7,6,6,2022,32,357.95,4,6,Ad
I3ZCQRBB,7,5,7,3,3,3,1,1,1,1,1,1,1,1,1,2022,25,218.87,6,3,Subscription
BG9YO4I3,7,7,7,7,6,7,4,5,5,6,6,7,7,7,7,2022,43,492.17,3,4,Ad
6YFWB0LV,7,7,7,1,1,1,6,6,7,7,7,7,7,7,7,2014,396,3928.55,3,4,Control
X75IGOTY,7,5,4,3,5,3,1,1,1,1,2,2,1,1,1,2022,27,231.04,5,2,Ad
M3M1GBGQ,5,4,6,3,3,3,2,1,1,1,2,1,1,1,1,2021,52,537.59,5,3,Control
FDGGY9OI,4,4,5,2,2,2,2,1,1,2,2,2,1,1,1,2022,23,204.04,5,4,Subscription
8SLWQ3E3,5,4,5,4,3,4,2,1,1,2,1,2,1,1,1,2021,68,585.95,5,3,Control
B17PQXRI,5,7,5,1,1,1,6,6,6,6,5,5,6,6,6,2013,430,4657.44,3,6,Ad
01KYGJJH,3,3,4,5,4,5,4,4,4,5,3,3,5,4,5,2017,216,2428.92,3,3,Control
QW739E86,6,6,6,2,1,1,6,5,5,4,5,5,7,7,7,2014,387,4074.13,4,5,New Product
KCVKUWKE,6,7,5,1,1,1,7,6,7,7,6,6,6,6,6,2017,372,4480.02,3,3,Subscription
EOYKJNMB,5,4,4,2,1,1,1,1,1,1,1,1,1,1,1,2022,19,137.55,5,3,Subscription
OSO087F7,5,6,4,4,4,5,5,4,4,4,6,3,6,6,6,2023,30,372.35,4,4,Ad
ONMSBFIS,5,4,6,2,2,3,1,2,1,1,1,1,2,4,3,2022,31,246.79,6,4,Subscription
V35KJOJH,3,4,4,5,5,4,4,5,4,5,5,4,7,7,7,2021,64,686.26,3,6,Ad
8ZTK9AQU,7,7,7,4,4,3,6,6,7,6,5,6,7,6,6,2013,320,3388.45,4,5,New Product
IC7DTQ0H,6,5,6,3,5,5,2,3,2,1,1,1,4,5,4,2022,32,277.51,6,4,Control
O6SW4H2Y,5,6,5,5,4,4,2,3,2,2,2,2,3,4,4,2021,66,573.98,5,4,New Product
9DLY27VR,7,7,7,4,2,1,7,7,7,7,7,7,7,7,7,2014,432,4025.13,3,7,Ad
0C32B9SX,6,4,7,5,5,5,2,3,2,1,1,1,2,1,1,2021,52,491.27,6,3,New Product
T465Q1CB,7,7,7,2,3,2,7,7,7,6,4,6,7,7,7,2014,567,6470.53,4,5,Control
GCLY6DB9,3,4,3,2,1,1,2,2,4,5,7,5,4,3,4,2018,160,1840.99,2,4,Subscription
Q2ZCLACJ,6,6,6,4,3,3,2,3,4,1,1,1,2,2,2,2022,19,167.94,6,4,Control
GP3XDV8Y,5,4,5,5,4,3,1,1,1,1,1,1,1,1,1,2021,50,474.1,5,3,New Product
4BBJ4K80,3,4,3,1,3,3,2,2,2,2,3,3,6,6,5,2018,190,2088.33,4,3,Ad
30NNYIWL,4,4,4,3,4,2,3,2,2,1,1,1,1,1,2,2021,52,445.31,5,4,Subscription
40815APR,7,7,7,7,5,6,1,2,1,1,2,2,3,4,2,2022,26,218.74,6,5,New Product
ZNFXVU9Z,5,6,7,4,3,3,1,1,1,1,1,1,1,1,1,2022,32,303.45,6,3,Subscription
2CX8KDWG,2,3,4,2,1,2,4,4,4,7,5,5,7,7,6,2022,25,305.9,2,3,Subscription
SM1DIOI6,5,5,6,3,3,3,1,2,2,3,2,3,2,3,2,2022,23,212.98,5,3,Ad
1DA5M1ZN,7,7,6,1,1,1,6,7,7,6,6,6,7,7,6,2017,300,2810.31,4,5,New Product
KUS4HO4Y,6,5,5,5,5,5,6,6,5,5,6,4,7,7,7,2018,210,2162.32,4,6,Subscription
Z6QAKAX7,6,7,6,1,1,1,6,5,6,6,7,6,5,4,6,2013,140,1309.31,3,5,Control
1RZVIPIT,6,7,5,2,2,2,5,5,5,4,5,3,7,5,4,2014,432,4944.83,4,5,Control
92PXRW4C,6,5,4,5,6,6,4,4,4,3,3,3,5,4,3,2019,164,1859.18,5,5,New Product
PD63FI1J,6,7,6,2,2,1,7,5,6,5,7,6,7,7,7,2015,312,3555.38,3,5,Ad
K65MQLL5,6,4,6,5,5,5,5,5,5,5,5,4,5,5,5,2022,37,402.84,4,4,Ad
NUP8PABG,7,7,7,3,2,2,6,7,7,7,7,7,5,6,6,2013,350,3561.71,3,5,New Product
PB8RW7BZ,7,7,5,1,2,2,7,7,7,7,6,6,7,7,7,2014,432,4061.87,3,5,Subscription
4QY858HD,4,5,4,5,3,3,5,4,6,6,6,6,7,7,7,2015,248,2276.03,2,4,Ad
6C7PZKR6,6,7,5,1,1,1,6,5,6,5,5,4,6,5,4,2015,424,4229.17,4,4,Control
Q8C702HB,6,7,5,3,2,2,7,7,7,7,7,6,7,7,7,2015,560,6034.61,3,6,Ad
E6YKBXC7,4,6,5,1,1,1,6,5,5,6,6,6,7,7,7,2017,216,2328.77,3,5,New Product
39PAVRLX,4,6,4,5,4,4,3,5,5,3,3,3,6,5,5,2020,96,1259,5,4,New Product
SMS3ILYS,5,7,6,1,1,1,7,7,7,5,6,7,7,7,6,2015,424,4864.18,3,5,Subscription
89FGWPNQ,5,5,6,3,4,5,4,4,3,4,5,3,4,5,4,2016,245,2898.47,4,5,Ad
5YDJ6IQS,5,4,5,2,1,1,1,2,2,1,1,1,1,1,2,2021,60,535.99,6,3,New Product
7P5FWRZP,5,5,4,4,5,5,3,3,4,4,4,2,6,6,6,2022,48,617.17,4,5,Subscription
DP0PAMBE,5,6,6,2,1,1,6,5,6,5,6,6,7,7,6,2014,423,4927.13,3,5,Ad
SVUT2LZL,6,7,7,1,1,1,6,6,7,6,5,5,4,4,4,2016,210,2139.25,4,5,Subscription
MUHF3ZO0,4,4,5,3,3,3,1,2,2,1,1,1,1,1,1,2022,29,272.75,5,4,Ad
SP2Z6F9C,6,7,6,3,2,1,7,7,7,6,7,7,7,7,7,2013,480,5607.76,3,6,New Product
7T4J823P,6,6,6,4,4,4,2,2,2,1,1,1,1,1,2,2022,30,276.03,6,3,Subscription
3WCF7HCB,3,3,4,1,1,1,5,6,5,5,5,5,5,5,6,2023,27,273.65,3,4,Ad
JG2DINBB,5,5,4,2,4,3,5,4,6,7,7,7,7,6,6,2022,30,325.31,2,5,Ad
B0QL3CZU,7,6,7,6,6,5,2,2,2,3,3,4,4,4,4,2022,20,183.68,5,4,New Product
HZZKNJOE,5,7,4,1,1,1,3,4,4,4,4,4,6,6,6,2013,400,4767.43,4,4,Ad
A9LNM7HG,6,6,5,4,3,3,1,1,1,1,1,1,2,3,2,2022,20,201.27,6,4,Subscription
SN66Z2YL,6,5,6,3,3,2,2,3,4,3,3,3,4,3,3,2021,60,526.99,5,4,New Product
CFRC9L65,5,5,4,5,4,5,5,4,4,3,2,1,6,6,7,2020,99,1047.12,6,5,Control
0D1Z8BUN,3,3,3,4,3,4,4,4,4,2,3,3,6,6,5,2017,198,2363.1,4,5,Subscription
T2EK6OXH,4,6,5,6,5,5,4,4,3,6,7,6,7,7,7,2021,68,789.33,2,5,Subscription
LJO5MTRH,7,7,7,1,1,1,5,5,5,7,7,7,7,7,7,2014,540,5571.45,3,5,Control
4WPCBJ7V,2,2,2,4,3,4,2,2,2,4,4,3,5,5,6,2021,72,868.26,3,5,New Product
JP6VUNMV,4,6,5,4,3,2,1,2,1,1,1,1,2,2,3,2021,52,486.49,6,3,Ad
LGM8EXKQ,6,7,7,1,1,1,5,5,7,5,4,5,3,2,2,2014,360,4078.07,4,5,Subscription
FICPXM8F,5,7,4,1,1,1,5,5,5,7,5,6,7,7,7,2013,440,4926.6,3,5,Control
3QINIIEG,6,5,7,5,4,4,2,2,1,2,2,3,3,3,4,2022,29,262.02,5,4,Ad
SAVDYO1F,4,4,4,1,1,1,1,1,1,1,1,1,2,2,1,2022,27,256.95,5,2,New Product
X9BR9TR1,7,7,7,2,2,1,5,6,6,6,4,4,7,7,6,2020,189,1942.45,5,5,Ad
SHVMVXA7,2,2,2,2,3,3,3,4,3,4,4,2,6,6,6,2015,304,3636.29,3,5,New Product
4JX732MK,7,7,5,2,1,1,7,7,7,5,5,5,5,5,5,2014,315,3141.08,4,5,Control
4VZC5D2D,7,7,7,5,3,5,3,5,3,4,3,4,1,1,1,2021,58,530.22,5,4,New Product
AHZO6J4O,5,4,3,1,1,1,1,1,1,1,1,1,1,1,1,2022,27,228.81,5,5,Subscription
5KJY718V,4,4,6,3,3,3,3,3,3,3,3,3,7,6,6,2021,72,734.33,5,3,Subscription
P1KX343D,5,3,4,4,4,4,2,3,2,3,3,3,4,3,2,2022,28,284.52,4,3,Control
5GE6OT03,3,2,3,4,3,4,3,3,2,3,2,2,4,5,3,2019,132,1592.62,4,3,Control
IQOGEPSF,4,7,5,2,1,1,7,7,7,5,3,4,6,6,7,2017,318,3237.19,5,6,Ad
R7E8BK6V,4,3,4,4,3,5,4,4,3,6,6,4,7,7,7,2020,81,866.46,2,4,Ad
E5KVB9UI,5,7,3,1,1,1,6,5,6,5,5,5,6,5,5,2015,184,1879.98,3,5,Ad
N1CXBRY2,6,5,6,5,4,3,1,2,1,1,1,1,1,1,1,2022,21,199.76,6,4,Control
DXFVRYS5,6,7,4,3,2,1,6,6,5,4,3,4,7,7,7,2015,440,3900.56,5,6,Control
FHB7ZIBC,3,2,3,3,4,5,5,4,4,3,3,2,7,7,7,2016,245,2856.92,4,5,Control
44S4BKYP,5,3,4,2,2,2,1,1,1,1,1,1,1,1,2,2021,44,364.97,5,4,Subscription
OAFXEFT4,4,7,5,2,1,1,7,7,7,6,5,5,7,7,7,2018,190,1845.35,4,5,Subscription
1RQRZWWB,6,6,5,5,4,3,1,2,1,1,1,1,2,1,1,2022,25,223.31,6,2,Control
3CKKA9PV,5,7,5,1,1,1,4,4,5,5,5,5,5,5,5,2015,312,3696.06,3,3,Control
01YKAZ12,5,5,7,5,5,5,3,2,3,2,1,1,1,1,2,2022,19,176.05,6,4,Ad
J15B1OMG,3,4,4,5,4,3,3,4,4,4,5,5,5,4,5,2012,363,3866.46,3,4,New Product
T6B8AOYF,6,6,6,3,1,2,1,1,1,1,1,1,1,1,2,2021,62,580.92,6,2,Control
8JWRVXIS,6,5,6,4,5,5,4,5,5,6,5,5,7,6,5,2015,264,3070.67,3,5,Control
YK8C7SM8,5,5,5,4,4,3,3,3,4,7,6,6,7,6,7,2022,33,387.38,2,4,New Product
FEPWT755,6,7,7,3,4,4,1,1,2,2,1,2,1,1,1,2022,21,191.59,6,4,Subscription
XQT88P20,5,5,4,4,4,4,4,5,5,4,5,5,7,7,7,2022,37,385.04,4,4,Ad
6ZPE6F82,6,5,6,2,2,2,5,4,3,4,4,2,3,4,4,2021,42,403.34,5,4,New Product
70RX8B98,5,6,5,2,4,5,5,4,4,7,7,6,6,6,6,2015,280,2781.73,2,4,Ad
VGDNNEDB,4,4,4,2,2,2,2,2,2,2,1,2,2,1,1,2021,74,701.58,5,3,Ad
E7PQD63L,6,5,5,4,5,3,2,2,2,1,1,1,4,3,2,2022,25,214.14,6,5,Control
RULKLQ9W,6,7,5,2,2,1,6,5,5,6,5,5,6,6,6,2016,385,3980.5,4,5,New Product
9N6Z1V3C,4,3,3,1,1,2,1,1,1,1,2,2,3,4,3,2022,22,207.23,5,2,Ad
NRD9BD38,4,5,5,5,4,5,4,4,4,5,3,4,6,6,7,2020,87,967.62,4,3,Ad
CN4WR4KB,2,2,3,2,2,2,4,3,3,5,4,3,7,7,7,2023,5,47.33,3,4,Subscription
IM3UZSPG,7,7,7,3,3,3,3,2,2,3,3,3,4,3,4,2022,30,250.82,5,3,Ad
2M1B09RR,7,7,7,4,5,4,2,3,4,2,3,3,1,1,1,2022,23,184.56,6,3,Subscription
QWXCDSQ0,4,6,5,5,3,4,3,4,4,4,6,4,6,6,5,2023,28,318.84,4,3,Ad
DASZLPB7,7,6,7,5,4,5,3,4,4,5,3,3,5,5,4,2021,50,496.51,5,3,Subscription
0WVNL84P,4,4,2,2,3,3,3,3,4,4,5,3,7,6,6,2021,64,723.18,3,5,New Product
XI0CS7AG,2,3,2,2,2,3,3,3,3,4,2,4,7,7,6,2013,310,3914.03,3,4,Ad
3OYF9A46,6,6,7,4,4,4,3,3,3,3,2,2,2,2,3,2022,29,232.79,6,4,Ad
GRLJSG71,3,3,3,3,3,3,3,5,4,5,4,4,6,6,6,2013,370,4004.56,3,4,Control
NAZXCER6,6,7,6,1,1,1,6,7,7,7,5,6,5,6,5,2016,343,3601,3,6,Control
QJEBGMLD,5,4,5,2,2,1,1,1,2,2,4,4,3,2,2,2021,62,574.33,4,3,Ad
XM0B5H4W,5,6,5,3,3,3,2,1,1,1,1,1,2,1,1,2021,32,274.36,6,3,Ad
RJNHTB14,5,4,6,3,1,2,2,2,2,1,1,1,2,1,1,2022,29,248.46,6,3,New Product
DQY135KN,4,4,4,4,4,5,3,3,3,4,4,4,5,5,5,2023,24,241.03,3,4,Control
KQ1RJ321,7,7,7,4,2,3,2,3,2,1,2,2,1,2,1,2022,25,242.22,6,3,New Product
GBF6XA7S,7,5,6,5,4,3,2,2,2,1,1,1,3,1,1,2022,29,256.81,6,4,New Product
OO57KAKL,3,4,5,4,3,4,5,4,4,3,5,2,6,6,7,2020,129,1359.12,4,5,Control
BUNS3DAE,4,4,4,5,5,6,5,5,5,7,7,5,7,7,7,2013,370,4479.07,2,2,Control
FTDNWO1H,5,5,5,3,3,2,1,1,2,1,1,1,3,2,1,2022,31,306.43,6,3,Ad
HRMUAU5R,5,5,4,3,4,4,4,5,4,6,6,5,7,7,7,2022,39,423.97,3,4,Control
FRMSNL13,4,3,4,1,2,1,1,2,2,1,1,1,2,3,1,2021,72,682.63,5,4,Control
UZ8JSLBW,4,5,3,2,2,2,3,2,3,6,7,6,6,5,7,2019,112,1318.36,2,4,Control
TRHRWFPZ,7,5,7,6,5,5,2,1,1,1,1,1,1,1,1,2021,36,306.62,6,4,Subscription
GNBN9DUQ,5,7,5,1,1,1,6,3,4,7,6,6,5,5,6,2018,140,1388.96,3,3,New Product
8VPWQVU4,5,5,5,3,3,3,1,2,1,1,1,2,2,1,1,2021,58,535.4,5,3,Ad
N0I420BF,7,7,5,1,1,1,6,5,6,5,4,4,6,5,6,2014,522,5187.3,4,6,New Product
EA2B7A14,7,7,7,3,4,3,7,7,7,7,5,6,7,7,7,2016,392,4127.33,4,5,New Product
LX4LAU6W,5,5,5,4,2,2,2,2,2,1,1,1,1,1,1,2022,32,270.4,6,2,Control
TCRTMARY,5,4,6,1,2,2,1,1,1,1,1,1,1,2,2,2022,23,201.96,6,3,Control
0TYY8T7E,6,3,3,4,4,4,3,3,3,6,7,6,6,7,7,2015,272,3150.9,2,5,New Product
JFESRR1T,4,2,2,3,2,2,3,3,3,3,3,2,2,2,2,2012,363,3956.82,3,4,New Product
IW3UKX92,7,7,7,3,2,3,7,7,7,7,6,6,7,7,7,2015,536,5742.97,4,6,Ad
TLF49LMJ,5,7,5,1,1,1,5,4,5,5,3,4,7,6,7,2014,414,3263.17,4,6,Subscription
0MYXNF25,7,7,6,2,2,2,6,5,5,7,6,7,6,6,6,2014,369,3708.17,3,3,Subscription
NNXPCC00,7,7,7,2,2,1,7,6,7,7,6,6,7,7,7,2019,244,2203.47,4,6,Control
MFAL2MGY,4,5,4,2,1,1,4,4,3,4,4,3,5,4,5,2021,84,791.82,4,4,Subscription
PZX22BTH,7,7,6,1,1,1,7,7,7,5,4,6,6,5,5,2015,272,2648.3,4,4,Ad
T4LK0I4P,4,3,3,4,4,4,4,3,3,1,1,1,3,2,3,2018,195,1913.63,5,4,Subscription
7BHLRQ7Z,5,5,5,4,4,4,2,3,2,1,1,2,3,2,3,2021,52,501.93,6,4,New Product
FR8151PR,4,4,4,3,4,5,5,4,3,5,5,4,7,7,7,2018,190,1959.33,3,4,Subscription
0O60UU57,7,7,7,6,6,5,2,2,2,1,1,1,3,2,2,2021,70,610.11,7,4,Subscription
HUVT6T0E,7,7,7,7,6,6,4,4,3,4,3,3,3,3,4,2022,24,220.12,5,4,New Product
T8ROXST5,7,5,7,2,4,3,2,1,1,3,2,1,3,2,2,2022,25,247,6,5,Ad
GEHYD3H3,7,7,6,5,4,6,6,5,4,6,7,6,5,5,6,2013,400,4791.63,3,5,New Product
2RJFJYGP,5,6,5,5,5,4,4,3,3,6,7,6,6,4,6,2015,272,2736.86,2,5,Subscription
DDPIJ05T,4,4,3,4,4,4,5,3,4,6,6,4,7,6,6,2021,82,1086.9,3,5,Control
2SR6YBVM,3,4,4,3,4,4,3,3,4,5,4,4,5,4,4,2019,108,1126.63,3,3,Ad
RGQSQ78W,5,7,6,1,1,1,6,5,5,4,3,4,4,4,4,2014,360,3748.39,5,5,Ad
F2XR6V3V,5,4,4,4,5,5,4,4,3,5,5,5,7,7,7,2015,248,2790.99,3,3,Ad
E3BW8JNJ,6,5,6,5,4,4,2,2,3,1,2,2,4,4,4,2022,29,242.64,6,4,Subscription
UZPPVVPW,6,6,6,4,6,5,4,4,4,6,5,6,7,7,7,2022,40,405.53,3,4,Ad
LRICZCZM,6,6,5,4,4,4,1,1,1,1,1,1,1,1,2,2022,25,206.49,6,4,New Product
1S1GP8YE,4,4,4,3,3,3,4,5,3,5,5,4,7,7,7,2022,43,458.46,3,3,Control
L6B85CII,6,5,5,6,4,5,4,5,5,4,5,4,6,6,5,2021,58,646.56,4,4,Control
N1YDXVKB,6,7,7,2,1,1,7,6,7,7,6,7,7,7,7,2017,246,2224.12,3,5,New Product
BKCH7BUX,7,6,7,2,1,3,2,2,1,1,1,2,1,2,2,2021,60,482.89,6,2,Control
6V4DTIRL,4,3,5,4,3,3,2,1,1,1,1,1,1,2,2,2021,72,657.99,5,3,New Product
MQKL09BH,5,5,5,3,2,4,3,3,4,1,1,1,3,3,3,2021,52,424.32,6,4,Ad
QNWYGZA2,6,4,6,4,3,3,2,2,3,1,1,2,2,2,2,2021,66,563.45,6,4,Subscription
ZTPYKFS0,5,4,5,4,3,3,3,3,3,2,1,1,3,4,4,2021,50,438.47,6,5,Subscription
9AU91F4J,5,5,4,3,4,3,1,1,2,1,1,1,1,1,1,2022,29,270.63,6,4,Subscription
8RGWT1GS,7,5,6,4,4,5,3,2,1,1,1,1,1,1,1,2021,60,564.57,6,3,Ad
I4BBTGLH,5,7,5,3,3,4,5,4,4,3,4,3,7,7,7,2021,78,873.74,5,4,Subscription
